entry moduleId genCharge genPdgId genVx genVy genVz genCotTheta genD0 genDz genInvPt genPt genPhi genEta stubPhi stubEta stubR stubX stubY stubZ stubLocalPhi stubLocalZ 
17 50333 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.09129 0.308759 23.2981 10.7485 20.6706 7.30836 681.5 23
17 60430 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.11298 0.336042 34.8344 15.3963 31.2472 11.9274 250.5 25
17 70631 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.1418 0.354109 49.8493 20.7351 45.3322 18.0233 315 24
17 80914 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.17965 0.389707 69.6125 26.5397 64.3548 27.8204 495.5 0
17 91215 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.213 0.363461 87.1983 30.5375 81.6762 32.3956 537.5 1
17 101516 -1 13 5.55163e-05 -0.000892369 -2.17912 0.40725 0.000494237 -2.17882 -0.323485 3.09134 1.04723 0.396758 1.25426 0.380578 109.023 33.9363 103.607 42.5007 336 1

19 50334 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.2802 0.510245 23.9395 6.85926 22.9358 12.752 235.5 17
19 60531 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.29242 0.435707 36.2004 9.94761 34.8068 16.2766 539.5 23
19 70731 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.30786 0.393031 51.8679 13.4811 50.0853 20.9146 405.5 4
19 81014 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.32331 0.400625 67.6191 16.5648 65.5588 27.8204 400 0
19 91315 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.34448 0.355518 89.2307 20.0227 86.9552 32.3956 239.5 1
19 101615 -1 13 0.00196784 0.000133432 5.68688 0.294176 0.00183067 5.68666 -0.169041 5.91572 1.25715 0.29009 1.36128 0.344553 106.487 22.1475 104.158 37.4206 52 0

21 50333 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.21943 0.267831 23.2302 7.99531 21.811 6.29642 383.5 30
21 60530 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.22536 0.336186 36.9289 12.5044 34.7474 12.6502 788 20
21 70731 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.23217 0.371637 51.9606 17.2611 49.0098 19.7581 798.5 12
21 80914 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.24014 0.388994 69.7466 22.6442 65.9684 27.8204 27 0
21 91215 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.24803 0.416757 87.2424 27.6722 82.7374 37.4206 198 0
21 101516 -1 13 -0.00291459 0.00111733 -4.65312 0.470276 -0.00312139 -4.65312 -0.0781631 12.7938 1.20892 0.454469 1.25777 0.423157 109.029 33.5746 103.731 47.5257 293.5 0

49 50333 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.09535 0.419333 23.2901 10.6607 20.7069 10.055 672 4
49 60430 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.11513 0.398141 34.8394 15.3313 31.2847 14.2404 243 9
49 70631 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.1411 0.383961 49.8482 20.7665 45.3166 19.6135 318.5 13
49 80914 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.17558 0.389707 69.6126 26.8017 64.2463 27.8204 527 0
49 91215 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.20619 0.363445 87.2022 31.0945 81.4699 32.3956 603.5 1
49 101516 -1 13 0.000183257 -0.000106712 1.56342 0.359143 0.000212049 1.56342 -0.305496 3.27336 1.05473 0.351839 1.2446 0.380611 109.013 34.9323 103.265 42.5007 453 1

51 50334 -1 13 0.00154183 0.00026115 7.80244 0.27756 0.0012755 7.80218 -0.127689 7.83151 1.12163 0.274114 1.13865 0.57034 23.8333 9.98198 21.6423 14.3421 573.5 6
51 60431 -1 13 0.00154183 0.00026115 7.80244 0.27756 0.0012755 7.80218 -0.127689 7.83151 1.12163 0.274114 1.14627 0.48452 34.3229 14.1371 31.2763 17.2885 140 16
51 70632 -1 13 0.00154183 0.00026115 7.80244 0.27756 0.0012755 7.80218 -0.127689 7.83151 1.12163 0.274114 1.15722 0.422002 49.2756 19.8033 45.1211 21.4171 241 29
51 80914 -1 13 0.00154183 0.00026115 7.80244 0.27756 0.0012755 7.80218 -0.127689 7.83151 1.12163 0.274114 1.17215 0.389701 69.6136 27.022 64.155 27.8204 553.5 0
